totalRent,livingSpace,noRooms,buildingAge,regio3
1100.0,57.95,2.0,115.0,Tiergarten
2700.0,119.0,4.0,1.0,Tiergarten
490.0,30.0,1.0,52.0,Wilmersdorf
1190.0,58.3,2.0,115.0,Pankow
526.0,35.49,1.0,35.0,Hellersdorf
700.0,30.44,1.0,118.0,Prenzlauer Berg
559.0,29.6,1.0,120.0,Neukölln
1882.0,87.55,3.0,22.0,Tiergarten
649.92,56.92,2.0,56.0,Spandau
1270.0,96.47,3.0,21.0,Köpenick
1000.0,80.86,3.0,120.0,Köpenick
7850.0,307.0,5.0,120.0,Mitte
3704.0,247.0,7.0,125.0,Charlottenburg
700.0,57.0,2.0,100.0,Treptow
1961.0,76.0,3.0,3.0,Kreuzberg
374.85,29.4,1.0,116.0,Steglitz
660.0,61.85,2.0,40.0,Marzahn
1067.24,72.27,2.0,3.0,Köpenick
953.0,74.49,3.0,23.0,Weißensee
655.0,21.0,1.0,4.0,Weißensee
1543.16,92.94,3.0,5.0,Tiergarten
1250.75,100.1,3.0,106.0,Wilmersdorf
1048.0,56.13,2.0,64.0,Schöneberg
795.0,50.0,1.0,116.0,Wedding
1560.0,103.0,3.0,114.0,Wilmersdorf
1442.0,129.0,4.0,123.0,Charlottenburg
1240.0,97.79,3.0,66.0,Charlottenburg
499.0,29.2,1.0,83.0,Steglitz
2050.0,109.0,3.0,8.0,Mitte
576.58,46.02,1.5,59.0,Spandau
699.0,63.0,2.0,53.0,Reinickendorf
510.0,62.0,2.0,111.0,Reinickendorf
892.0,70.34,2.0,108.0,Pankow
2000.0,81.88,3.0,25.0,Mitte
920.0,70.0,2.0,127.0,Tiergarten
643.54,55.39,2.0,90.0,Reinickendorf
729.0,48.0,2.0,120.0,Tiergarten
794.74,81.59,4.0,34.0,Hellersdorf
2622.0,138.0,5.0,120.0,Charlottenburg
1039.41,81.9,2.0,1.0,Reinickendorf
1320.1,111.96,3.0,31.0,Steglitz
530.0,40.29,2.0,120.0,Köpenick
1471.5,82.0,3.0,110.0,Wilmersdorf
873.4,56.0,2.0,1.0,Lichtenberg
1365.0,60.5,2.0,120.0,Wilmersdorf
1060.0,77.0,3.0,103.0,Lichtenberg
623.91,58.77,2.0,62.0,Neukölln
3850.0,224.0,5.0,112.0,Steglitz
1018.84,96.5,3.0,39.0,Wedding
1061.92,61.03,2.0,2.0,Lichtenberg
859.0,67.21,2.5,108.0,Lichtenberg
1415.0,87.0,3.0,109.0,Treptow
1132.84,105.16,3.5,50.0,Steglitz
900.0,43.06,2.0,95.0,Reinickendorf
732.84,69.4,3.0,31.0,Hellersdorf
571.77,47.0,1.0,115.0,Treptow
1229.0,107.3,3.0,116.0,Köpenick
1989.0,93.0,3.0,22.0,Tiergarten
1996.9,97.41,3.0,2.0,Mitte
1845.0,82.75,3.0,0.0,Mitte
594.0,68.82,3.0,41.0,Marzahn
1453.82,113.61,4.0,23.0,Hohenschönhausen
2544.58,108.05,4.0,1.0,Tiergarten
1321.0,49.9,2.0,114.0,Prenzlauer Berg
990.0,48.0,1.5,1.0,Friedrichshain
1471.96,94.0,3.5,80.0,Schöneberg
817.15,63.54,1.0,130.0,Weißensee
1725.0,82.0,2.0,120.0,Kreuzberg
706.15,68.86,2.5,42.0,Steglitz
687.0,57.5,1.0,5.0,Pankow
799.0,64.0,2.0,46.0,Neukölln
856.0,52.0,2.0,90.0,Zehlendorf
544.0,37.0,1.0,65.0,Steglitz
999.0,42.0,1.0,23.0,Charlottenburg
942.0,71.98,2.0,120.0,Treptow
1960.8,98.04,3.0,1.0,Tiergarten
1234.0,60.76,2.0,115.0,Schöneberg
1150.0,54.95,2.0,53.0,Friedrichshain
994.0,75.0,2.0,107.0,Weißensee
900.0,69.26,3.0,26.0,Köpenick
1958.69,112.31,3.0,103.0,Neukölln
1408.0,88.0,3.0,120.0,Reinickendorf
1215.0,74.68,2.0,1.0,Buchholz
2080.0,107.89,4.0,0.0,Mitte
1290.0,51.0,2.0,2.0,Pankow
605.55,56.44,2.0,25.0,Marzahn
430.0,33.0,1.0,49.0,Reinickendorf
1332.37,99.91,4.0,46.0,Wilmersdorf
4000.0,235.0,6.0,5.0,Zehlendorf
809.34,59.33,1.5,25.0,Neukölln
1970.8,3.0,99.5,2.0,Neukölln
720.99,74.29,3.0,43.0,Spandau
2307.6,115.38,4.0,7.0,Mitte
2638.4,131.92,5.0,7.0,Mitte
1320.0,60.78,2.0,101.0,Friedrichshain
630.0,47.63,2.0,26.0,Köpenick
869.0,59.43,2.0,90.0,Spandau
628.93,32.5,1.0,0.0,Lichtenberg
798.0,55.05,2.0,27.0,Reinickendorf
683.7,60.19,2.0,17.0,Spandau
900.0,54.17,1.0,120.0,Pankow
536.0,19.5,1.0,2.0,Wedding
599.94,49.96,1.5,114.0,Köpenick
1410.0,80.0,2.0,101.0,Charlottenburg
1485.0,93.52,3.0,2.0,Tempelhof
1390.0,40.0,2.0,1.0,Mitte
1202.0,57.4,2.0,51.0,Wedding
1290.0,64.0,2.0,1.0,Friedrichshain
3144.0,96.69,4.0,114.0,Prenzlauer Berg
819.0,52.0,2.0,120.0,Charlottenburg
1500.0,72.93,3.0,51.0,Mitte
682.65,44.05,1.5,24.0,Köpenick
890.0,67.6,2.0,110.0,Steglitz
725.0,67.05,3.0,42.0,Marzahn
2031.52,96.97,3.0,1.0,Tiergarten
1377.0,60.93,2.0,19.0,Mitte
3500.0,262.0,7.0,34.0,Zehlendorf
972.13,68.46,2.0,90.0,Köpenick
694.0,42.49,1.5,110.0,Neukölln
932.48,66.83,2.0,25.0,Neukölln
1207.0,73.7,3.0,95.0,Tempelhof
1775.0,89.44,2.0,120.0,Friedrichshain
1598.17,70.4,2.0,4.0,Mitte
783.87,68.64,1.5,22.0,Weißensee
909.27,77.88,4.0,63.0,Steglitz
1134.0,76.76,3.0,100.0,Prenzlauer Berg
1022.44,67.61,2.0,3.0,Köpenick
1962.0,106.92,2.0,12.0,Wilmersdorf
2312.0,115.6,4.0,7.0,Mitte
5550.0,344.0,9.0,110.0,Zehlendorf
852.0,52.0,2.0,120.0,Charlottenburg
689.0,38.89,1.0,52.0,Steglitz
1310.67,65.61,2.0,4.0,Charlottenburg
680.0,20.5,1.0,3.0,Wedding
1700.0,98.98,3.0,134.0,Wedding
1271.62,87.88,3.0,5.0,Treptow
565.0,33.0,1.0,84.0,Spandau
1700.0,76.0,3.0,55.0,Wilmersdorf
2065.06,97.87,4.0,1.0,Tiergarten
1100.0,60.0,2.0,121.0,Pankow
1021.77,53.22,2.0,1.0,Friedrichshain
1640.0,95.0,3.5,119.0,Wilmersdorf
1800.0,113.7,4.5,4.0,Steglitz
700.0,40.62,1.0,105.0,Reinickendorf
2244.0,151.58,3.0,27.0,Charlottenburg
808.0,56.11,2.0,62.0,Wedding
1735.0,103.99,4.0,3.0,Steglitz
649.0,56.0,2.0,23.0,Köpenick
1057.0,88.2,3.0,127.0,Tiergarten
930.0,78.5,3.0,24.0,Hellersdorf
1475.0,52.0,2.0,6.0,Friedrichshain
970.0,35.0,1.0,61.0,Tempelhof
845.0,54.0,2.0,120.0,Tiergarten
917.0,38.0,1.0,110.0,Charlottenburg
1400.0,65.5,2.0,2.0,Wilmersdorf
1376.0,69.1,2.0,1.0,Charlottenburg
1190.0,79.42,4.0,64.0,Marzahn
1325.0,71.67,2.0,116.0,Friedrichshain
1275.0,75.6,2.0,120.0,Friedrichshain
1830.25,99.5,3.0,6.0,Mitte
889.0,69.0,3.0,49.0,Neukölln
929.0,73.0,3.0,47.0,Neukölln
620.0,45.74,2.0,81.0,Treptow
2179.0,95.8,4.0,1.0,Mitte
1850.0,87.0,2.0,116.0,Friedrichshain
1175.0,93.7,3.0,112.0,Steglitz
1485.0,93.85,3.0,2.0,Tempelhof
699.15,69.14,3.0,32.0,Hellersdorf
1048.0,49.31,2.0,51.0,Wedding
2998.24,128.68,4.0,1.0,Schöneberg
950.0,85.0,4.0,23.0,Köpenick
1503.16,109.48,4.0,2.0,Köpenick
1270.0,94.13,4.0,113.0,Wilmersdorf
1332.11,102.47,3.0,120.0,Pankow
1300.0,93.7,2.0,0.0,Hellersdorf
1295.8,65.4,2.0,2.0,Neukölln
2550.0,181.22,4.0,9.0,Steglitz
2011.0,102.0,4.0,2.0,Tiergarten
1781.48,83.03,2.0,1.0,Zehlendorf
1660.0,55.0,2.0,7.0,Mitte
869.22,71.58,2.0,49.0,Spandau
1925.0,105.0,4.0,1.0,Weißensee
449.0,33.0,1.0,49.0,Reinickendorf
1070.0,35.45,1.0,1.0,Mitte
1136.0,93.0,3.0,49.0,Steglitz
968.0,90.13,3.0,110.0,Köpenick
1266.0,47.13,2.0,120.0,Kreuzberg
795.0,46.0,1.5,51.0,Wilmersdorf
670.0,40.07,1.0,55.0,Wilmersdorf
993.0,73.05,2.0,2.0,Köpenick
950.0,43.1,1.0,44.0,Tiergarten
1985.0,142.0,5.5,26.0,Tempelhof
793.28,64.66,2.0,23.0,Pankow
747.0,47.79,2.0,7.0,Köpenick
1570.0,80.0,2.0,101.0,Charlottenburg
8706.0,274.0,5.0,120.0,Charlottenburg
1757.11,84.68,3.0,1.0,Tiergarten
1376.41,86.57,3.0,1.0,Köpenick
1832.23,114.3,5.0,67.0,Wilmersdorf
1637.92,112.96,4.0,120.0,Steglitz
2244.22,104.14,4.0,1.0,Tiergarten
2105.0,119.0,4.0,115.0,Charlottenburg
867.02,74.38,3.0,24.0,Köpenick
1730.0,113.0,4.0,115.0,Wilmersdorf
1480.0,97.83,3.0,1.0,Treptow
946.0,52.19,2.0,26.0,Neukölln
482.63,43.0,1.0,43.0,Neukölln
3990.0,272.0,5.0,64.0,Wilmersdorf
783.0,65.82,2.0,31.0,Wedding
1199.0,104.68,4.0,23.0,Spandau
590.06,68.49,3.0,36.0,Marzahn
1700.0,84.0,3.0,117.0,Charlottenburg
988.0,61.0,2.0,61.0,Wilmersdorf
733.54,76.0,3.0,120.0,Charlottenburg
1115.32,82.9,3.0,23.0,Köpenick
2110.0,94.0,3.0,7.0,Mitte
3000.0,90.0,3.0,1.0,Wilmersdorf
2300.0,99.47,3.0,6.0,Mitte
1370.0,91.0,3.0,115.0,Charlottenburg
676.25,31.5,1.0,52.0,Kreuzberg
650.0,55.0,2.0,8.0,Buchholz
974.0,69.09,2.0,26.0,Tempelhof
2428.0,133.0,3.0,2.0,Weißensee
1313.01,97.26,4.0,63.0,Steglitz
2350.0,135.0,4.0,109.0,Charlottenburg
5170.0,256.0,5.0,118.0,Charlottenburg
2346.0,117.3,3.0,106.0,Mitte
1276.21,65.47,2.0,1.0,Tiergarten
472.24,50.78,2.0,61.0,Reinickendorf
1025.0,61.41,2.0,2.0,Tempelhof
990.0,35.0,1.0,120.0,Wilmersdorf
668.29,53.86,2.0,65.0,Spandau
799.18,70.0,2.0,46.0,Reinickendorf
877.82,60.96,2.0,2.0,Treptow
2889.0,143.02,4.0,120.0,Friedrichshain
1200.0,63.82,2.0,78.0,Zehlendorf
1880.0,122.27,4.0,43.0,Reinickendorf
1800.0,85.0,2.0,1.0,Charlottenburg
619.41,54.07,1.5,56.0,Spandau
582.0,40.95,1.0,122.0,Tiergarten
1019.0,69.0,2.0,117.0,Wedding
992.0,74.2,3.0,23.0,Weißensee
743.41,69.4,3.0,31.0,Hellersdorf
571.88,36.28,1.0,8.0,Köpenick
804.88,51.52,2.0,22.0,Reinickendorf
972.0,83.0,2.0,92.0,Köpenick
1627.0,65.83,3.0,2.0,Mitte
629.0,42.0,1.0,54.0,Tiergarten
779.41,42.82,1.0,120.0,Friedrichshain
739.0,63.03,2.0,116.0,Treptow
1244.85,57.9,2.0,1.0,Tiergarten
1090.48,63.4,2.0,110.0,Friedrichshain
1458.0,56.0,2.0,5.0,Charlottenburg
1080.0,52.0,2.0,115.0,Wedding
639.0,44.0,2.0,88.0,Weißensee
698.73,60.12,2.0,94.0,Spandau
623.29,58.74,2.0,46.0,Spandau
1024.5,56.5,2.0,55.0,Steglitz
2065.6,88.28,3.0,0.0,Wilmersdorf
1267.0,68.04,3.0,6.0,Kreuzberg
2530.0,143.45,5.0,37.0,Wilmersdorf
592.87,70.05,3.0,34.0,Hohenschönhausen
943.0,73.22,3.0,25.0,Köpenick
922.0,30.0,1.0,1.0,Tempelhof
1600.0,92.02,3.0,4.0,Friedrichshain
699.0,51.3,2.0,129.0,Wedding
1410.0,79.0,3.0,2.0,Tiergarten
1041.0,56.0,2.0,55.0,Schöneberg
1098.9,59.26,2.0,10.0,Friedrichshain
1900.0,65.0,2.0,110.0,Kreuzberg
1350.0,64.55,2.0,36.0,Wilmersdorf
2060.0,122.52,4.0,120.0,Friedrichshain
986.06,59.41,2.0,68.0,Treptow
465.44,29.88,1.0,68.0,Spandau
1650.0,80.0,3.0,64.0,Kreuzberg
912.12,78.59,3.0,110.0,Köpenick
3518.35,228.31,5.0,125.0,Charlottenburg
647.73,46.0,2.0,1.0,Lichtenberg
1050.0,96.0,3.0,115.0,Treptow
540.0,50.0,2.0,31.0,Reinickendorf
2309.9,115.58,4.0,2.0,Mitte
1480.0,80.0,3.0,101.0,Charlottenburg
657.0,39.0,1.5,110.0,Köpenick
432.02,38.82,1.0,87.0,Hohenschönhausen
1060.0,70.0,2.0,109.0,Treptow
1640.0,92.0,3.0,2.0,Friedrichshain
1687.32,119.21,4.0,102.0,Reinickendorf
1292.0,76.36,3.0,65.0,Neukölln
740.0,60.1,2.0,126.0,Köpenick
719.0,60.0,2.0,23.0,Köpenick
740.0,50.0,2.0,11.0,Wilmersdorf
970.0,85.79,3.0,23.0,Tempelhof
3380.0,120.0,3.0,2.0,Tiergarten
1142.48,79.0,3.0,5.0,Hohenschönhausen
820.0,55.0,1.0,121.0,Weißensee
2800.0,180.0,4.0,110.0,Zehlendorf
1690.0,64.0,2.0,16.0,Charlottenburg
1960.0,120.0,4.0,4.0,Reinickendorf
2960.0,153.0,2.5,2.0,Kreuzberg
1817.0,97.62,3.0,1.0,Kreuzberg
3515.0,214.0,5.0,14.0,Wilmersdorf
626.73,38.6,2.0,92.0,Pankow
1810.0,118.0,4.0,126.0,Prenzlauer Berg
1850.0,132.88,3.0,4.0,Prenzlauer Berg
1690.0,90.0,3.0,115.0,Steglitz
1198.43,58.46,2.0,3.0,Treptow
925.0,71.76,2.0,23.0,Reinickendorf
595.0,54.77,2.0,125.0,Weißensee
892.6,74.48,2.0,91.0,Prenzlauer Berg
1520.0,118.0,4.0,117.0,Tiergarten
961.0,68.0,2.0,23.0,Köpenick
670.44,66.39,3.0,31.0,Hellersdorf
1663.46,77.37,3.0,2.0,Friedrichshain
2380.0,114.0,3.0,113.0,Charlottenburg
980.33,85.44,4.0,21.0,Marzahn
1728.0,94.65,3.0,125.0,Tiergarten
940.0,57.75,2.0,128.0,Tiergarten
790.0,70.29,2.0,115.0,Treptow
921.0,74.49,3.0,23.0,Weißensee
955.0,61.0,2.0,100.0,Spandau
800.23,67.72,3.0,57.0,Neukölln
394.0,28.0,1.0,140.0,Spandau
929.23,56.16,2.0,61.0,Kreuzberg
3226.99,131.93,5.0,141.0,Mitte
724.83,50.58,2.0,66.0,Reinickendorf
750.0,41.21,1.0,105.0,Reinickendorf
499.0,41.0,1.0,127.0,Köpenick
866.0,55.74,2.5,95.0,Reinickendorf
1927.5,95.0,3.0,2.0,Friedrichshain
1640.0,92.36,3.0,120.0,Mitte
470.56,37.28,1.0,37.0,Marzahn
1426.65,80.83,3.0,4.0,Wilmersdorf
1471.0,82.67,3.0,110.0,Reinickendorf
804.27,77.98,3.0,46.0,Spandau
749.0,62.81,2.0,110.0,Lichtenberg
1650.0,54.0,2.0,67.0,Mitte
2870.0,164.0,4.0,120.0,Tiergarten
753.47,47.19,2.0,55.0,Charlottenburg
1104.0,60.0,2.0,1.0,Zehlendorf
1244.95,71.73,2.0,40.0,Neukölln
859.67,71.56,2.0,54.0,Spandau
647.0,23.37,1.0,2.0,Schöneberg
1179.0,81.91,3.0,46.0,Reinickendorf
2216.93,148.53,4.0,34.0,Zehlendorf
1913.95,107.73,4.0,30.0,Schöneberg
1270.0,65.12,2.0,56.0,Tiergarten
550.0,42.2,1.0,52.0,Steglitz
2970.0,121.31,4.0,1.0,Mitte
6985.0,310.0,5.0,10.0,Mitte
1450.0,80.5,3.0,120.0,Neukölln
2177.0,92.0,3.0,1.0,Tiergarten
1530.0,100.0,3.0,109.0,Prenzlauer Berg
970.23,63.22,2.0,3.0,Köpenick
1049.0,90.19,2.0,158.0,Tiergarten
673.0,47.54,2.0,36.0,Hohenschönhausen
2508.24,119.44,3.0,1.0,Tiergarten
1290.0,84.0,4.0,55.0,Schöneberg
1657.2,100.0,4.0,5.0,Charlottenburg
815.0,45.0,1.0,44.0,Tiergarten
1798.0,105.8,3.0,98.0,Charlottenburg
1390.0,67.03,2.0,5.0,Wilmersdorf
2080.35,67.14,2.0,2.0,Steglitz
810.0,66.07,2.0,26.0,Spandau
1319.0,92.7,3.0,22.0,Tiergarten
2390.45,216.28,5.0,99.0,Pankow
560.0,35.0,1.0,57.0,Reinickendorf
689.0,64.0,2.0,46.0,Spandau
725.21,62.01,3.0,57.0,Tempelhof
1959.0,158.83,4.0,120.0,Köpenick
845.0,28.11,1.0,2.0,Charlottenburg
796.0,47.0,2.0,125.0,Lichtenberg
988.0,26.0,1.0,1.0,Tempelhof
1437.26,61.16,2.0,2.0,Friedrichshain
1540.0,84.49,3.0,9.0,Kreuzberg
849.0,58.0,1.0,120.0,Schöneberg
957.31,59.46,2.0,60.0,Kreuzberg
1056.0,88.2,3.0,48.0,Tempelhof
570.49,47.17,1.5,22.0,Weißensee
658.34,46.97,1.0,119.0,Köpenick
675.0,63.95,2.0,55.0,Steglitz
799.99,63.37,3.0,72.0,Hohenschönhausen
1550.0,100.0,3.0,5.0,Köpenick
705.0,63.0,2.0,22.0,Köpenick
1647.8,81.98,2.0,100.0,Zehlendorf
2695.0,119.0,3.0,1.0,Zehlendorf
1161.0,91.11,4.0,41.0,Lichtenberg
1839.78,81.95,3.0,1.0,Tiergarten
648.85,54.88,2.0,41.0,Lichtenberg
1586.3,131.0,4.0,110.0,Wilmersdorf
1341.0,95.0,4.5,155.0,Tiergarten
689.0,43.48,1.0,51.0,Charlottenburg
3212.96,230.36,6.0,105.0,Wilmersdorf
999.0,30.98,1.0,2.0,Mitte
499.0,19.5,1.0,2.0,Wedding
1991.6,193.87,4.5,24.0,Reinickendorf
2200.0,110.13,5.0,120.0,Friedrichshain
2195.6,109.78,4.0,7.0,Mitte
1233.21,79.56,2.0,3.0,Köpenick
900.0,48.7,1.5,2.0,Friedrichshain
543.7,32.44,1.0,110.0,Zehlendorf
3592.3,93.78,2.0,5.0,Zehlendorf
1985.0,123.4,3.0,120.0,Friedrichshain
561.0,39.77,1.5,50.0,Steglitz
2184.24,106.55,3.0,106.0,Mitte
528.0,35.69,1.0,35.0,Hellersdorf
1269.28,56.76,2.0,4.0,Prenzlauer Berg
754.61,54.5,2.0,110.0,Buchholz
3593.17,139.27,3.0,25.0,Tiergarten
666.0,54.0,2.0,94.0,Spandau
2084.09,96.2,3.0,5.0,Mitte
2195.6,110.0,4.0,2.0,Mitte
2100.0,84.0,3.0,4.0,Wilmersdorf
446.92,47.15,1.0,37.0,Marzahn
2956.2,147.81,4.0,106.0,Prenzlauer Berg
853.85,65.96,2.0,43.0,Neukölln
1617.0,88.4,3.0,65.0,Charlottenburg
987.39,73.14,2.0,1.0,Köpenick
1939.0,157.0,4.0,27.0,Steglitz
1592.55,103.3,3.0,120.0,Friedrichshain
1108.77,89.9,3.0,23.0,Pankow
990.0,73.54,3.0,116.0,Wilmersdorf
1364.62,137.84,4.0,120.0,Friedrichshain
555.97,51.25,1.5,91.0,Spandau
900.0,60.0,2.0,114.0,Charlottenburg
1020.0,71.11,2.0,84.0,Treptow
3442.0,223.0,7.0,88.0,Charlottenburg
779.75,46.18,1.0,110.0,Reinickendorf
670.0,39.9,1.0,120.0,Wedding
1024.0,31.99,2.0,1.0,Neukölln
950.0,32.45,1.0,24.0,Mitte
449.0,30.0,1.0,48.0,Spandau
966.7,87.09,4.0,31.0,Hellersdorf
955.0,48.31,2.0,54.0,Kreuzberg
607.86,54.99,2.0,63.0,Köpenick
650.0,30.0,1.0,46.0,Charlottenburg
773.67,86.73,4.0,31.0,Marzahn
2521.3,122.99,4.0,7.0,Mitte
656.75,56.63,3.0,81.0,Spandau
1439.0,47.44,2.0,114.0,Prenzlauer Berg
2020.99,96.93,3.0,1.0,Tiergarten
680.0,55.0,2.0,57.0,Steglitz
998.0,84.0,2.5,114.0,Schöneberg
2487.79,130.2,4.0,4.0,Mitte
681.51,68.84,3.0,35.0,Hellersdorf
1685.87,92.63,3.0,120.0,Friedrichshain
610.0,35.7,1.0,102.0,Steglitz
829.0,79.0,2.5,54.0,Reinickendorf
592.0,61.92,3.0,140.0,Spandau
1940.0,130.0,4.0,48.0,Neukölln
959.31,58.27,2.0,59.0,Kreuzberg
773.6,27.0,2.0,1.0,Tiergarten
3124.0,164.0,3.0,2.0,Wilmersdorf
1144.0,76.5,3.0,60.0,Reinickendorf
719.11,59.39,2.0,23.0,Pankow
1099.0,82.17,3.0,3.0,Lichtenberg
779.0,60.0,2.0,102.0,Tiergarten
4279.0,210.05,6.0,108.0,Wilmersdorf
2434.0,112.0,3.0,5.0,Charlottenburg
2117.0,131.84,3.0,120.0,Wilmersdorf
2932.2,146.61,4.0,106.0,Prenzlauer Berg
1430.0,93.0,3.0,24.0,Zehlendorf
1827.0,105.53,4.0,3.0,Wilmersdorf
930.0,69.3,3.0,18.0,Zehlendorf
386.58,39.0,1.0,120.0,Schöneberg
2224.35,110.19,3.0,1.0,Tiergarten
919.0,62.82,2.0,116.0,Charlottenburg
750.0,77.0,2.0,52.0,Reinickendorf
3300.0,198.7,5.0,11.0,Steglitz
2224.0,122.0,3.0,1.0,Tiergarten
2599.0,116.0,3.0,2.0,Neukölln
646.35,53.43,1.5,56.0,Spandau
1237.05,95.9,3.0,12.0,Steglitz
641.3,65.0,2.0,116.0,Treptow
1650.74,81.72,2.0,120.0,Friedrichshain
3245.95,157.0,4.0,22.0,Tiergarten
1610.0,108.72,3.0,109.0,Friedrichshain
589.52,52.16,1.0,50.0,Tempelhof
1720.0,116.35,3.0,2.0,Köpenick
789.0,61.0,2.0,46.0,Neukölln
1107.87,88.09,3.5,56.0,Spandau
980.0,36.85,1.0,2.0,Mitte
856.58,75.0,3.0,47.0,Neukölln
2720.0,167.0,3.0,9.0,Schöneberg
1060.0,116.0,3.0,120.0,Lichtenberg
829.0,60.64,2.5,91.0,Wedding
462.0,52.0,2.0,114.0,Neukölln
950.0,64.21,2.0,41.0,Zehlendorf
549.0,42.0,1.0,42.0,Tempelhof
895.0,38.0,1.0,52.0,Kreuzberg
584.0,40.95,1.0,110.0,Wedding
3654.36,203.02,4.0,22.0,Mitte
910.0,82.0,3.0,28.0,Spandau
1115.0,68.0,2.0,2.0,Friedrichshain
1014.32,80.0,3.0,3.0,Treptow
746.0,51.42,1.0,2.0,Köpenick
2112.0,105.6,3.0,2.0,Tiergarten
2070.16,112.63,2.0,5.0,Charlottenburg
1165.02,63.31,1.5,1.0,Zehlendorf
620.5,49.64,1.5,90.0,Köpenick
719.0,50.0,2.0,56.0,Lichtenberg
3390.0,55.0,4.0,7.0,Mitte
922.0,60.0,2.0,114.0,Charlottenburg
2601.89,133.43,5.0,7.0,Mitte
1076.0,88.0,3.0,88.0,Hellersdorf
3026.95,140.28,3.0,1.0,Tiergarten
1667.0,84.41,3.0,115.0,Schöneberg
487.71,38.03,1.0,102.0,Neukölln
809.31,72.91,3.0,31.0,Hellersdorf
1889.76,82.87,3.0,4.0,Prenzlauer Berg
2091.78,100.27,3.0,1.0,Schöneberg
1739.0,114.0,3.0,84.0,Steglitz
990.0,70.0,2.0,100.0,Treptow
627.0,24.78,1.0,4.0,Mitte
1281.0,75.0,2.0,125.0,Lichtenberg
1080.0,66.08,2.0,1.0,Pankow
2290.0,110.0,4.0,6.0,Mitte
988.21,76.02,3.0,25.0,Köpenick
509.98,53.17,2.0,24.0,Charlottenburg
658.45,50.01,2.0,82.0,Lichtenberg
999.0,49.94,1.5,120.0,Mitte
2280.0,143.0,5.0,120.0,Wilmersdorf
1023.0,89.16,3.0,117.0,Schöneberg
622.1,61.72,1.5,43.0,Neukölln
520.38,45.5,1.5,89.0,Spandau
1181.72,95.79,3.0,118.0,Friedrichshain
1849.0,127.05,5.0,91.0,Spandau
613.48,39.37,2.0,82.0,Lichtenberg
460.0,27.0,1.0,120.0,Neukölln
761.0,67.0,2.0,110.0,Neukölln
2415.65,135.71,3.0,5.0,Tiergarten
799.2,62.93,2.0,43.0,Wilmersdorf
1209.0,81.0,2.5,100.0,Charlottenburg
1329.07,78.0,3.5,1.0,Pankow
602.0,28.0,1.0,23.0,Zehlendorf
1364.62,137.84,4.0,120.0,Friedrichshain
1270.0,88.33,3.0,117.0,Schöneberg
480.0,53.0,2.0,34.0,Marzahn
1225.21,63.31,1.5,1.0,Zehlendorf
772.64,80.09,2.0,37.0,Marzahn
1773.71,85.07,3.0,1.0,Tiergarten
1960.8,98.04,3.0,1.0,Tiergarten
1415.87,91.23,3.0,114.0,Charlottenburg
1112.11,89.04,4.0,2.0,Marzahn
