totalRent,livingSpace,noRooms,buildingAge,regio3
1460.72,133.71,4.0,37.0,Wilmersdorf
750.0,72.0,2.5,50.0,Tempelhof
1365.0,66.5,2.0,114.0,Neukölln
785.0,55.29,2.0,90.0,Lichtenberg
479.0,36.12,1.0,25.0,Treptow
2486.44,82.0,2.0,114.0,Charlottenburg
2380.0,114.0,3.0,113.0,Charlottenburg
710.0,61.02,2.0,51.0,Spandau
1891.8,95.05,3.0,2.0,Neukölln
1689.77,99.0,2.0,150.0,Köpenick
529.29,49.6,1.5,93.0,Prenzlauer Berg
1772.0,71.0,3.0,93.0,Charlottenburg
1803.0,67.0,3.0,1.0,Mitte
1069.0,99.36,3.0,110.0,Lichtenberg
724.83,50.58,2.0,66.0,Reinickendorf
481.63,48.0,2.0,49.0,Neukölln
1294.8,65.05,2.0,2.0,Neukölln
558.5,56.87,3.0,53.0,Köpenick
1513.0,75.65,2.0,2.0,Mitte
1692.0,80.13,3.0,63.0,Steglitz
412.74,32.32,1.0,37.0,Lichtenberg
2620.0,105.0,3.0,2.0,Tiergarten
2147.5,139.0,3.0,113.0,Prenzlauer Berg
1349.98,67.71,2.0,1.0,Friedrichshain
948.0,51.39,2.0,64.0,Steglitz
1944.72,147.0,4.0,113.0,Charlottenburg
1390.15,84.04,3.0,28.0,Reinickendorf
1820.0,94.76,3.0,2.0,Mitte
563.17,62.23,3.0,40.0,Marzahn
1240.0,45.2,2.0,4.0,Mitte
1550.0,58.48,2.0,120.0,Prenzlauer Berg
939.24,59.77,2.0,53.0,Tempelhof
1295.0,81.3,2.0,120.0,Friedrichshain
2500.0,110.0,3.0,5.0,Mitte
849.0,63.0,2.5,90.0,Weißensee
1296.29,57.87,2.0,24.0,Mitte
957.31,59.46,2.0,60.0,Kreuzberg
2495.0,119.26,2.5,2.0,Mitte
596.81,55.13,2.0,38.0,Lichtenberg
923.48,52.97,2.0,4.0,Friedrichshain
770.3,63.68,2.0,25.0,Reinickendorf
874.29,83.6,3.0,93.0,Spandau
1250.0,74.0,2.0,116.0,Wedding
910.0,74.7,2.0,24.0,Hohenschönhausen
413.77,36.03,1.0,35.0,Marzahn
1425.0,98.98,4.0,20.0,Zehlendorf
1600.0,78.0,3.0,123.0,Wilmersdorf
1995.0,62.86,2.0,3.0,Mitte
2256.89,142.18,3.5,3.0,Pankow
561.0,39.77,1.5,50.0,Steglitz
863.32,67.95,2.5,93.0,Spandau
1099.0,71.0,2.0,118.0,Friedrichshain
784.58,71.98,3.0,31.0,Hellersdorf
1211.0,81.65,3.0,29.0,Tempelhof
4650.0,235.0,6.0,107.0,Charlottenburg
2330.0,168.0,5.0,31.0,Wilmersdorf
833.0,45.75,1.5,45.0,Wilmersdorf
578.69,45.47,1.5,23.0,Weißensee
2513.44,135.84,4.0,110.0,Friedrichshain
885.0,54.6,2.0,11.0,Weißensee
810.0,70.74,3.0,36.0,Hohenschönhausen
2229.0,142.0,3.0,112.0,Charlottenburg
1871.0,108.0,2.0,109.0,Charlottenburg
772.0,38.18,1.0,87.0,Mitte
920.0,47.65,2.0,120.0,Wedding
1029.0,70.0,3.0,120.0,Kreuzberg
3032.5,131.18,3.0,34.0,Schöneberg
1164.0,32.0,1.0,0.0,Mitte
2312.0,115.6,4.0,2.0,Mitte
899.0,62.0,2.0,4.0,Lichtenberg
1270.0,65.12,2.0,56.0,Tiergarten
3568.5,170.45,3.0,6.0,Mitte
719.0,60.0,2.0,23.0,Köpenick
1030.0,52.38,2.0,83.0,Pankow
1891.8,95.05,3.0,2.0,Neukölln
2555.0,125.49,3.0,22.0,Tiergarten
351.77,35.0,1.0,43.0,Marzahn
839.0,56.36,2.0,24.0,Buchholz
433.0,35.57,1.0,90.0,Hohenschönhausen
544.86,51.0,2.0,120.0,Charlottenburg
3060.0,150.0,4.0,120.0,Wilmersdorf
1011.0,75.0,2.0,102.0,Treptow
900.0,48.7,1.5,2.0,Friedrichshain
585.0,37.17,1.0,36.0,Lichtenberg
1390.0,67.03,2.0,5.0,Wilmersdorf
1681.43,149.27,4.5,110.0,Spandau
1840.0,117.5,4.0,6.0,Treptow
1409.0,71.0,3.0,1.0,Pankow
936.13,71.06,3.0,25.0,Köpenick
829.0,79.8,2.5,53.0,Reinickendorf
1550.0,63.2,2.0,2.0,Tiergarten
2580.0,105.0,3.0,2.0,Tiergarten
951.1,71.41,2.0,120.0,Pankow
836.0,62.97,3.0,55.0,Tempelhof
655.0,23.16,1.0,3.0,Mitte
835.11,43.27,1.5,4.0,Treptow
658.34,46.97,1.0,119.0,Köpenick
2750.0,90.0,3.0,110.0,Friedrichshain
2110.0,94.0,3.0,7.0,Mitte
932.0,72.6,2.5,90.0,Spandau
968.81,56.6,2.0,33.0,Schöneberg
476.5,50.0,1.0,116.0,Spandau
999.0,68.0,2.0,120.0,Wedding
1996.0,134.19,3.0,132.0,Schöneberg
1440.5,103.41,3.0,6.0,Treptow
930.0,57.47,2.0,100.0,Lichtenberg
2330.0,169.0,4.0,2.0,Schöneberg
1095.0,64.0,1.0,119.0,Wilmersdorf
3210.0,121.0,4.0,93.0,Charlottenburg
950.0,42.69,2.0,90.0,Weißensee
1499.0,86.0,3.0,108.0,Friedrichshain
699.0,51.5,1.0,56.0,Lichtenberg
1269.28,56.76,2.0,4.0,Prenzlauer Berg
1679.74,153.86,5.0,49.0,Lichtenberg
494.51,49.0,2.0,62.0,Wilmersdorf
715.6,61.69,2.0,55.0,Spandau
2820.0,127.0,3.0,1.0,Friedrichshain
1450.0,120.24,4.0,35.0,Reinickendorf
1032.0,81.26,3.0,31.0,Wedding
1700.0,90.44,3.0,4.0,Friedrichshain
799.53,64.27,2.0,28.0,Tempelhof
809.0,57.0,2.0,2.0,Spandau
1293.4,88.7,3.0,3.0,Treptow
750.0,68.0,3.0,90.0,Weißensee
1095.0,85.0,3.0,90.0,Reinickendorf
1312.9,83.98,3.0,81.0,Zehlendorf
685.0,36.2,1.0,1.0,Köpenick
2780.55,150.3,3.0,16.0,Mitte
1550.0,107.0,4.0,1.0,Spandau
849.0,77.0,2.0,65.0,Köpenick
1295.0,75.0,2.0,0.0,Lichtenberg
1628.0,102.0,3.0,32.0,Zehlendorf
1090.0,56.0,2.0,120.0,Friedrichshain
1090.48,63.4,2.0,110.0,Friedrichshain
1790.0,94.66,3.0,2.0,Schöneberg
1336.0,95.21,3.5,52.0,Steglitz
1120.43,58.6,2.0,2.0,Köpenick
810.0,70.0,2.0,47.0,Steglitz
761.25,57.28,2.0,17.0,Lichtenberg
1635.0,73.0,3.0,120.0,Neukölln
830.0,57.5,1.0,1.0,Köpenick
2164.04,117.44,4.0,25.0,Prenzlauer Berg
592.87,70.05,3.0,34.0,Hohenschönhausen
3996.57,185.5,4.0,16.0,Mitte
2524.47,171.0,4.0,20.0,Wilmersdorf
1311.0,65.55,2.0,106.0,Mitte
600.0,42.5,1.0,3.0,Lichtenberg
1610.11,79.11,2.0,1.0,Schöneberg
1088.0,46.87,1.0,30.0,Tiergarten
2547.0,117.34,4.0,2.0,Mitte
573.0,58.6,1.1,48.0,Spandau
795.92,76.9,2.0,23.0,Treptow
717.89,64.26,3.0,66.0,Reinickendorf
2047.63,115.26,4.0,1.0,Friedrichshain
828.77,72.64,3.0,48.0,Spandau
950.0,57.2,2.0,120.0,Wedding
748.57,41.13,1.0,120.0,Friedrichshain
1037.05,97.55,3.0,27.0,Wedding
886.0,67.98,3.0,21.0,Hellersdorf
2492.05,126.5,4.0,24.0,Mitte
798.98,70.72,3.0,32.0,Hohenschönhausen
1250.0,71.29,2.5,1.0,Pankow
1080.0,91.8,2.0,28.0,Schöneberg
1100.0,63.24,2.0,120.0,Steglitz
1000.0,44.7,1.0,62.0,Tiergarten
1380.0,92.84,3.5,56.0,Charlottenburg
787.2,57.2,1.5,105.0,Wilmersdorf
1700.0,76.0,2.0,130.0,Wilmersdorf
889.0,76.0,3.0,51.0,Spandau
1476.0,84.0,3.0,0.0,Weißensee
837.0,51.03,2.0,115.0,Reinickendorf
678.69,61.0,2.0,24.0,Marzahn
1793.0,110.0,3.0,115.0,Wilmersdorf
1170.0,93.0,3.0,120.0,Steglitz
1500.0,72.93,3.0,51.0,Mitte
1100.0,84.0,3.0,120.0,Zehlendorf
900.0,63.65,3.0,90.0,Köpenick
755.0,56.82,2.0,40.0,Lichtenberg
511.65,48.13,1.5,34.0,Steglitz
1472.37,65.76,2.0,1.0,Tiergarten
581.04,50.56,1.5,68.0,Reinickendorf
1740.0,96.0,3.0,2.0,Tiergarten
787.57,75.57,3.0,25.0,Marzahn
2180.0,77.54,2.0,61.0,Wilmersdorf
744.0,41.0,1.5,23.0,Hohenschönhausen
1395.0,86.0,3.0,24.0,Köpenick
1023.0,93.18,3.0,116.0,Treptow
529.0,43.0,1.0,44.0,Tempelhof
2041.0,96.73,3.0,1.0,Tiergarten
4400.0,222.0,5.0,110.0,Charlottenburg
1883.27,98.38,3.0,1.0,Kreuzberg
1550.0,55.0,1.0,61.0,Wilmersdorf
1760.0,80.0,2.0,120.0,Mitte
1300.0,80.0,2.0,20.0,Mitte
950.0,62.45,2.0,56.0,Schöneberg
1634.38,107.38,3.0,34.0,Steglitz
1181.3,60.55,2.0,1.0,Kreuzberg
817.94,59.76,2.0,24.0,Köpenick
1093.16,123.0,4.0,50.0,Wedding
669.71,51.28,1.5,28.0,Steglitz
696.0,54.5,3.0,35.0,Hellersdorf
1350.0,83.11,2.0,111.0,Steglitz
1140.0,75.09,3.0,25.0,Reinickendorf
1130.0,81.32,3.0,52.0,Neukölln
690.0,45.0,1.5,57.0,Reinickendorf
872.0,59.57,2.0,23.0,Buchholz
2443.0,123.0,2.0,1.0,Köpenick
1471.96,94.0,3.5,80.0,Schöneberg
472.54,44.0,1.0,46.0,Neukölln
999.0,70.6,3.0,63.0,Wedding
571.65,58.66,2.0,90.0,Weißensee
1079.0,50.79,2.0,51.0,Wedding
850.0,54.34,2.0,64.0,Reinickendorf
1201.07,85.39,3.0,47.0,Steglitz
1442.0,129.0,4.0,123.0,Charlottenburg
1593.0,86.0,4.0,2.0,Tiergarten
1558.7,71.15,2.0,1.0,Neukölln
945.1,61.57,2.0,110.0,Wedding
1660.0,77.0,3.0,92.0,Wilmersdorf
1645.0,47.0,2.0,2.0,Tiergarten
955.0,48.31,2.0,54.0,Kreuzberg
1109.6,91.2,3.5,46.0,Spandau
1854.0,151.0,4.0,119.0,Schöneberg
797.0,69.8,3.0,32.0,Hellersdorf
580.0,28.0,1.0,110.0,Friedrichshain
1685.0,118.42,4.5,17.0,Reinickendorf
1480.0,75.0,1.0,81.0,Steglitz
999.0,76.36,3.0,48.0,Tempelhof
1680.94,81.97,3.0,1.0,Tiergarten
521.46,53.0,1.5,48.0,Tempelhof
1520.0,73.81,2.0,0.0,Spandau
400.77,36.03,1.0,35.0,Marzahn
2100.0,91.86,3.0,3.0,Wilmersdorf
947.22,90.37,4.0,35.0,Marzahn
2880.0,167.0,4.0,7.0,Mitte
2400.0,120.0,4.0,120.0,Charlottenburg
1060.0,70.0,2.0,109.0,Treptow
870.5,71.04,2.0,145.0,Spandau
1010.0,48.0,2.0,51.0,Wedding
1400.0,56.0,1.0,23.0,Mitte
2281.5,152.0,5.0,10.0,Pankow
550.0,55.0,2.0,30.0,Hellersdorf
602.6,32.39,1.0,0.0,Lichtenberg
2900.0,136.44,4.0,120.0,Charlottenburg
1275.9,94.04,4.0,28.0,Tempelhof
1893.98,106.02,3.0,41.0,Charlottenburg
889.86,70.29,3.0,24.0,Lichtenberg
2007.02,96.26,3.0,1.0,Tiergarten
673.88,65.87,2.0,20.0,Treptow
453.0,39.0,1.0,43.0,Spandau
2750.0,135.0,3.0,136.0,Kreuzberg
1394.0,90.0,2.0,127.0,Marzahn
720.0,39.4,1.5,44.0,Spandau
1445.0,60.0,2.0,1.0,Tiergarten
420.96,43.35,1.0,120.0,Tiergarten
1249.0,60.0,2.0,60.0,Wilmersdorf
3470.0,170.0,5.0,110.0,Wilmersdorf
2080.0,95.0,3.0,1.0,Neukölln
1200.0,55.0,1.0,6.0,Mitte
806.16,72.91,2.0,34.0,Steglitz
1949.74,108.56,3.0,118.0,Wedding
1285.0,64.0,3.0,51.0,Charlottenburg
1040.0,77.22,2.0,119.0,Prenzlauer Berg
1519.06,50.0,2.0,106.0,Kreuzberg
1440.0,64.0,2.0,1.0,Neukölln
1039.0,61.41,2.0,2.0,Tempelhof
800.0,43.0,1.0,63.0,Charlottenburg
338.0,32.5,1.0,31.0,Hellersdorf
337.02,32.32,1.0,37.0,Lichtenberg
2010.5,123.0,3.0,91.0,Zehlendorf
1236.0,77.08,3.0,3.0,Treptow
628.18,45.16,1.0,51.0,Spandau
1773.71,85.07,3.0,1.0,Tiergarten
570.0,42.0,1.0,116.0,Wilmersdorf
1772.81,85.07,3.0,1.0,Tiergarten
1325.0,65.0,2.0,1.0,Friedrichshain
580.12,57.42,3.0,29.0,Hellersdorf
440.39,48.0,2.0,118.0,Wedding
915.97,27.45,1.0,1.0,Tempelhof
1060.0,75.99,3.0,1.0,Hohenschönhausen
799.0,66.13,3.0,2.0,Lichtenberg
706.42,77.32,3.0,36.0,Marzahn
2240.0,130.0,3.0,120.0,Prenzlauer Berg
1075.0,80.0,2.0,4.0,Treptow
623.54,45.71,1.5,22.0,Steglitz
1474.0,101.5,4.5,56.0,Steglitz
1740.0,71.0,2.0,123.0,Mitte
1362.34,75.06,2.0,4.0,Wilmersdorf
1471.5,82.0,3.0,110.0,Wilmersdorf
610.36,75.0,4.0,45.0,Lichtenberg
555.64,43.61,1.0,44.0,Kreuzberg
1640.0,98.72,2.0,0.0,Charlottenburg
1886.81,120.29,3.0,1.0,Köpenick
1016.05,79.4,3.0,23.0,Weißensee
412.53,41.34,1.0,48.0,Tempelhof
1920.0,130.0,3.5,5.0,Friedrichshain
1607.97,100.69,4.0,47.0,Mitte
1049.0,97.8,2.2,50.0,Steglitz
1784.54,111.89,3.0,1.0,Köpenick
1178.42,80.89,3.0,31.0,Tempelhof
922.0,54.22,2.0,100.0,Prenzlauer Berg
897.53,87.67,2.0,120.0,Tempelhof
2040.0,145.0,4.0,120.0,Steglitz
699.0,21.8,1.0,2.0,Mitte
1400.0,128.0,5.0,101.0,Friedrichshain
1129.0,85.0,3.0,30.0,Charlottenburg
1559.58,61.16,2.0,2.0,Friedrichshain
2075.0,120.0,3.0,2.0,Schöneberg
2470.0,130.0,4.0,1.0,Charlottenburg
2015.0,96.83,4.0,1.0,Wilmersdorf
949.0,55.97,2.0,2.0,Tempelhof
800.0,37.0,1.0,110.0,Neukölln
3393.6,141.75,3.0,102.0,Prenzlauer Berg
2800.0,142.0,3.0,11.0,Prenzlauer Berg
2575.0,149.0,5.0,1.0,Prenzlauer Berg
1730.0,68.0,2.0,7.0,Mitte
3550.0,113.0,3.0,6.0,Wilmersdorf
1410.0,79.0,3.0,2.0,Tiergarten
960.0,76.6,3.0,20.0,Köpenick
930.0,29.12,1.0,2.0,Köpenick
480.0,53.0,2.0,34.0,Marzahn
1173.0,62.0,2.0,2.0,Treptow
2169.54,139.4,2.5,11.0,Friedrichshain
705.52,59.56,3.0,64.0,Neukölln
947.64,90.39,4.0,56.0,Spandau
930.0,50.0,1.0,50.0,Steglitz
489.47,37.0,1.0,114.0,Charlottenburg
1119.0,73.0,1.0,110.0,Pankow
1230.75,65.0,2.0,2.0,Neukölln
1271.0,80.0,3.0,120.0,Steglitz
1565.4,66.4,2.0,2.0,Tiergarten
738.04,56.36,2.0,57.0,Tempelhof
1200.0,44.52,1.0,130.0,Prenzlauer Berg
1255.0,57.93,2.0,2.0,Friedrichshain
899.0,87.0,3.0,49.0,Spandau
780.0,41.03,1.0,60.0,Tiergarten
833.0,70.87,3.0,24.0,Weißensee
1920.0,115.7,4.0,5.0,Mitte
1081.09,69.71,2.0,95.0,Wedding
585.93,60.0,2.0,51.0,Spandau
1795.68,86.89,3.0,1.0,Tiergarten
994.0,68.14,3.0,26.0,Treptow
1230.0,63.76,2.5,69.0,Friedrichshain
805.0,56.61,2.0,1.0,Hohenschönhausen
1600.0,92.02,3.0,4.0,Friedrichshain
2550.0,181.22,4.0,9.0,Steglitz
959.61,28.0,1.0,106.0,Kreuzberg
715.0,19.0,1.0,6.0,Mitte
690.0,49.98,2.0,56.0,Steglitz
849.9,86.25,3.0,28.0,Köpenick
1338.75,88.93,3.0,3.0,Treptow
796.2,54.91,2.0,120.0,Friedrichshain
929.34,50.65,2.0,0.0,Lichtenberg
802.49,64.25,2.0,2.0,Marzahn
1422.2,85.48,3.0,101.0,Köpenick
1350.0,64.55,2.0,36.0,Wilmersdorf
6849.0,291.0,6.0,17.0,Mitte
2924.0,141.49,4.0,120.0,Wilmersdorf
1074.59,74.45,3.0,39.0,Steglitz
436.12,41.48,1.5,83.0,Reinickendorf
490.0,30.0,1.0,52.0,Wilmersdorf
1382.0,119.28,4.0,98.0,Pankow
492.0,29.4,1.0,105.0,Wedding
1448.0,103.2,2.5,125.0,Charlottenburg
1061.9,60.68,2.0,0.0,Zehlendorf
385.92,36.0,1.0,34.0,Marzahn
820.0,63.29,2.0,14.0,Köpenick
1750.0,100.0,3.0,120.0,Schöneberg
1939.2,87.43,3.0,1.0,Tiergarten
2856.0,122.3,3.0,110.0,Mitte
834.69,59.7,2.0,55.0,Neukölln
989.0,57.49,2.0,67.0,Neukölln
1766.0,174.2,5.0,116.0,Spandau
691.46,63.72,2.0,38.0,Spandau
720.0,49.36,2.0,128.0,Köpenick
990.0,112.0,2.0,120.0,Reinickendorf
1910.0,156.0,4.0,110.0,Charlottenburg
792.0,71.43,3.0,36.0,Hohenschönhausen
1800.0,120.0,3.0,29.0,Zehlendorf
939.0,91.96,4.0,53.0,Reinickendorf
900.0,51.0,2.0,43.0,Steglitz
738.68,37.0,1.0,52.0,Kreuzberg
3160.0,169.53,5.0,32.0,Charlottenburg
594.41,43.87,1.0,120.0,Weißensee
2567.0,131.19,4.0,38.0,Tiergarten
2467.0,144.84,4.0,160.0,Lichtenberg
1290.0,77.0,2.5,35.0,Wilmersdorf
519.14,51.08,2.0,33.0,Köpenick
1291.0,83.14,3.0,6.0,Köpenick
6718.15,310.0,5.0,10.0,Mitte
939.0,74.47,2.0,23.0,Zehlendorf
535.0,41.0,1.0,120.0,Treptow
650.0,55.0,2.0,8.0,Buchholz
1334.56,85.12,3.0,102.0,Pankow
1690.0,77.0,3.0,1.0,Tiergarten
781.0,61.28,2.0,120.0,Weißensee
1257.08,73.24,3.0,120.0,Weißensee
2328.0,110.9,3.0,125.0,Kreuzberg
794.35,70.35,2.0,46.0,Spandau
1229.0,79.3,3.0,96.0,Steglitz
1400.0,65.5,2.0,2.0,Wilmersdorf
1017.25,63.71,2.0,1.0,Köpenick
1549.0,85.13,4.0,127.0,Charlottenburg
1537.0,68.67,3.0,1.0,Köpenick
705.0,65.0,2.0,81.0,Hellersdorf
1304.02,105.82,3.0,124.0,Spandau
1321.0,64.2,2.0,1.0,Kreuzberg
1644.0,119.19,4.0,30.0,Steglitz
1728.0,94.65,3.0,125.0,Tiergarten
960.0,57.3,2.0,115.0,Schöneberg
1400.0,66.0,2.5,20.0,Wilmersdorf
1040.31,81.99,2.0,1.0,Reinickendorf
1344.0,66.0,2.0,1.0,Tiergarten
950.0,38.0,1.0,46.0,Wilmersdorf
4050.0,153.0,3.0,8.0,Wilmersdorf
919.0,76.0,3.0,23.0,Köpenick
2601.89,133.43,5.0,7.0,Mitte
1245.0,53.23,2.0,0.0,Mitte
1460.0,66.0,2.0,90.0,Wedding
2000.0,135.56,3.0,130.0,Köpenick
3799.0,140.0,4.0,4.0,Charlottenburg
1435.0,53.0,2.0,1.0,Charlottenburg
440.57,36.6,1.0,123.0,Pankow
1325.39,64.97,2.0,1.0,Tiergarten
997.0,62.71,2.0,1.0,Marzahn
690.0,60.93,2.0,132.0,Köpenick
1100.0,63.0,2.0,1.0,Lichtenberg
1020.0,77.71,2.5,52.0,Schöneberg
1013.69,75.51,3.0,24.0,Neukölln
2967.2,148.0,3.0,2.0,Mitte
1160.0,77.44,3.0,120.0,Mitte
3135.0,189.17,4.0,9.0,Mitte
2359.0,115.23,3.0,22.0,Tiergarten
365.82,29.48,1.0,38.0,Marzahn
499.0,11.0,1.0,2.0,Köpenick
2224.0,126.5,4.0,24.0,Mitte
609.54,51.59,2.0,84.0,Köpenick
2254.0,112.0,4.0,1.0,Charlottenburg
2900.0,90.0,3.0,1.0,Wilmersdorf
1449.66,70.2,2.0,0.0,Pankow
1882.0,87.55,3.0,22.0,Tiergarten
683.7,60.19,2.0,17.0,Spandau
4065.0,157.0,5.0,1.0,Tiergarten
899.0,72.0,2.0,28.0,Reinickendorf
2000.0,90.0,3.0,1.0,Friedrichshain
1349.0,118.68,3.5,120.0,Neukölln
2251.0,79.05,2.0,1.0,Prenzlauer Berg
697.87,57.05,2.0,57.0,Reinickendorf
1404.66,68.52,2.0,1.0,Neukölln
936.13,71.06,3.0,25.0,Köpenick
1970.0,153.0,6.0,31.0,Steglitz
2512.0,119.0,3.0,115.0,Charlottenburg
799.0,76.0,2.5,53.0,Reinickendorf
1208.6,64.0,2.0,37.0,Steglitz
1570.0,67.94,2.0,3.0,Mitte
802.0,67.35,3.0,36.0,Hohenschönhausen
1079.0,53.0,2.0,62.0,Wilmersdorf
1015.0,70.88,2.0,128.0,Tiergarten
901.0,68.0,3.0,58.0,Spandau
1970.0,85.6,2.0,1.0,Kreuzberg
3380.0,186.52,4.0,140.0,Tiergarten
1204.0,77.0,2.0,37.0,Wedding
700.0,40.62,1.0,105.0,Reinickendorf
765.0,37.39,1.0,118.0,Prenzlauer Berg
1174.25,46.97,2.0,1.0,Lichtenberg
384.17,40.27,2.0,33.0,Köpenick
926.55,79.48,3.0,23.0,Pankow
1336.0,84.0,3.0,84.0,Spandau
2080.0,107.89,4.0,0.0,Mitte
870.0,87.28,3.0,118.0,Köpenick
1347.51,66.38,2.0,1.0,Tiergarten
673.48,68.0,2.0,108.0,Wedding
875.0,70.28,3.0,23.0,Hellersdorf
1590.0,112.5,3.0,4.0,Reinickendorf
2596.0,161.71,3.0,120.0,Wilmersdorf
1142.48,79.0,3.0,5.0,Hohenschönhausen
2599.0,135.88,3.0,4.0,Prenzlauer Berg
2067.45,108.3,5.0,4.0,Mitte
3000.0,123.0,3.0,10.0,Charlottenburg
933.0,70.74,3.0,41.0,Lichtenberg
1450.0,126.0,3.0,140.0,Köpenick
1869.0,109.0,3.0,1.0,Tempelhof
1570.0,85.0,2.0,101.0,Charlottenburg
569.9,51.46,2.0,65.0,Neukölln
682.65,44.05,1.5,25.0,Köpenick
679.0,64.0,2.0,48.0,Spandau
879.0,56.5,2.0,1.0,Köpenick
1640.0,92.36,3.0,120.0,Mitte
1497.0,76.5,2.0,120.0,Prenzlauer Berg
1059.0,98.0,3.0,108.0,Tempelhof
921.85,61.22,2.0,29.0,Steglitz
652.25,26.09,1.0,2.0,Lichtenberg
869.0,63.0,2.0,120.0,Schöneberg
939.0,87.59,3.0,28.0,Spandau
787.0,52.0,2.0,2.0,Pankow
1293.0,86.72,3.0,8.0,Tiergarten
1174.25,46.97,2.0,1.0,Lichtenberg
689.0,63.0,2.0,49.0,Reinickendorf
590.99,50.78,2.0,88.0,Treptow
990.0,81.79,3.0,21.0,Lichtenberg
679.0,45.0,2.0,120.0,Pankow
1000.0,75.0,3.0,109.0,Wilmersdorf
850.0,63.0,2.0,90.0,Spandau
777.28,71.26,2.0,49.0,Steglitz
850.0,68.25,2.0,115.0,Wedding
